acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z
0.097604,-0.048292,0.173158,0.135226,-0.015218,-0.009758,-0.02354,0.001749,-0.07052
0.04742,-0.012399,0.187529,0.137612,-0.016219,-0.00384,-0.019043,0.001235,-0.070701
-0.036302,0.049776,0.165912,0.137791,-0.015603,0.001958,-0.014503,0.000715,-0.07069
0.056987,-0.050742,0.141943,0.138129,-0.01562,0.007002,-0.009955,0.000204,-0.070502
-0.012319,0.064095,0.161028,0.138864,-0.0154,0.011965,-0.00539,-0.000303,-0.070149
-0.029061,0.03546,0.177763,0.13818,-0.013759,0.017518,-0.000824,-0.00078,-0.069623
0.014017,-0.033971,0.16096,0.137933,-0.013736,0.023069,0.003727,-0.001229,-0.068916
-0.072058,0.040167,0.158576,0.136978,-0.013635,0.028303,0.008258,-0.001676,-0.068031
-0.050554,0.054583,0.148938,0.134959,-0.012074,0.033338,0.012739,-0.002096,-0.066979
-0.00022,-0.031617,0.144108,0.134127,-0.011697,0.038133,0.017174,-0.002484,-0.065765
-0.110322,0.071353,0.146536,0.13231,-0.011044,0.042889,0.021565,-0.002855,-0.064394
-0.048025,-0.014847,0.146516,0.129706,-0.010115,0.047683,0.025883,-0.003199,-0.062868
-0.057611,-0.010042,0.127375,0.127973,-0.010529,0.052161,0.03013,-0.003536,-0.061189
-0.100639,0.01624,0.132066,0.125374,-0.01043,0.056401,0.034306,-0.003877,-0.059367
-0.105422,0.028204,0.134505,0.121987,-0.0097,0.060758,0.038384,-0.004206,-0.057405
-0.057544,-0.045934,0.12253,0.119312,-0.009997,0.064957,0.042361,-0.004527,-0.055303
-0.148432,0.056939,0.124874,0.115929,-0.00982,0.068998,0.04624,-0.00485,-0.053066
-0.110167,0.013888,0.098586,0.111679,-0.008655,0.072643,0.049993,-0.005151,-0.050703
-0.11015,0.009083,0.088971,0.108062,-0.008281,0.075696,0.053616,-0.005426,-0.048231
-0.124453,-0.005233,0.115349,0.104211,-0.008223,0.079026,0.057117,-0.005695,-0.045655
-0.153173,-0.002879,0.100933,0.09965,-0.008362,0.082553,0.06048,-0.005965,-0.042966
-0.162772,-0.010037,0.098581,0.094459,-0.00858,0.085804,0.063682,-0.006242,-0.040167
-0.157957,0.011539,0.093779,0.08919,-0.008561,0.088937,0.066713,-0.006521,-0.037263
-0.153145,0.05214,0.065051,0.08408,-0.007516,0.091518,0.069573,-0.006783,-0.034267
-0.174714,-0.012386,0.062705,0.078695,-0.006866,0.093586,0.072261,-0.007018,-0.031194
-0.172259,0.009093,0.057909,0.072996,-0.006927,0.095536,0.074767,-0.007243,-0.028057
-0.181869,0.044987,0.057919,0.067179,-0.006041,0.097408,0.077083,-0.007454,-0.024857
-0.177065,-0.002867,0.060285,0.061283,-0.005353,0.09932,0.079207,-0.00764,-0.021596
-0.155495,-0.024341,0.072263,0.055824,-0.005808,0.101469,0.081145,-0.007822,-0.018268
-0.227286,0.056959,0.029226,0.049536,-0.005277,0.103106,0.08289,-0.008003,-0.01488
-0.157962,-0.014823,0.024437,0.043208,-0.004589,0.103955,0.084427,-0.008164,-0.011451
-0.234563,0.064124,0.014942,0.03676,-0.003782,0.104569,0.085755,-0.0083,-0.007998
-0.220162,0.068933,0.007802,0.029286,-0.001594,0.104909,0.086854,-0.008387,-0.004531
-0.191446,-0.029129,-0.0114,0.022524,-0.000945,0.104815,0.087719,-0.008428,-0.001061
-0.179501,-0.041089,-0.004123,0.016432,-0.002111,0.104525,0.088373,-0.008477,0.002402
-0.160401,-0.038731,-0.004102,0.010853,-0.003436,0.104356,0.088836,-0.008568,0.005857
-0.160426,-0.019603,-0.016044,0.005589,-0.004406,0.103991,0.08912,-0.008697,0.009302
-0.227433,0.059443,-0.035243,-0.000781,-0.003756,0.103113,0.089214,-0.008831,0.012727
-0.251392,0.071413,-0.042379,-0.008653,-0.001605,0.101802,0.089074,-0.008919,0.016114
-0.155712,-0.043515,-0.047161,-0.015342,-0.001152,0.100294,0.088694,-0.008965,0.019454
-0.210862,-0.041058,-0.071065,-0.021362,-0.002556,0.098315,0.088106,-0.009026,0.022736
-0.220413,0.092908,-0.080554,-0.028451,-0.001708,0.095785,0.087302,-0.009097,0.025943
-0.167792,-0.017116,-0.09014,-0.034829,-0.000465,0.092941,0.086277,-0.009133,0.029061
-0.232462,0.076152,-0.085311,-0.041407,0.000501,0.090019,0.085039,-0.009133,0.032083
-0.227703,0.059488,-0.073323,-0.048974,0.002731,0.087376,0.083569,-0.009081,0.035013
-0.144004,-0.0219,-0.111544,-0.055083,0.003343,0.0843,0.081874,-0.008982,0.037847
-0.187204,0.045087,-0.097203,-0.060524,0.003718,0.080832,0.07999,-0.008867,0.040574
-0.206381,0.085793,-0.092374,-0.066996,0.00587,0.07768,0.07791,-0.00871,0.043191
-0.127494,-0.012265,-0.135402,-0.072483,0.007076,0.073899,0.075633,-0.008498,0.045693
-0.127552,-0.012256,-0.135379,-0.076671,0.006663,0.069409,0.073197,-0.008274,0.048058
-0.127613,-0.012247,-0.135356,-0.080863,0.006252,0.06492,0.070624,-0.008063,0.050275
-0.156311,0.047583,-0.128175,-0.08553,0.006827,0.060551,0.067905,-0.007849,0.052345
-0.103812,0.009248,-0.140118,-0.089806,0.007758,0.056104,0.06504,-0.007611,0.054269
-0.087109,-0.009865,-0.164026,-0.092941,0.00774,0.051066,0.062053,-0.007358,0.056037
-0.151804,0.035648,-0.137724,-0.09687,0.008159,0.046068,0.058949,-0.007099,0.057638
-0.108724,0.009278,-0.14251,-0.101157,0.008893,0.041426,0.055711,-0.006821,0.059081
-0.108796,0.014094,-0.187896,-0.104736,0.009272,0.035956,0.052344,-0.006524,0.060356
-0.094552,0.016459,-0.156791,-0.108083,0.00977,0.030251,0.048862,-0.006214,0.061447
-0.116201,0.033239,-0.156774,-0.111555,0.010583,0.02506,0.045269,-0.005881,0.062358
-0.06842,-0.007447,-0.14244,-0.114596,0.011003,0.020107,0.041568,-0.005529,0.063101
-0.078009,-0.004984,-0.159097,-0.11701,0.010792,0.015115,0.037778,-0.005173,0.06368
-0.068575,0.040432,-0.171046,-0.119427,0.011371,0.009651,0.033908,-0.004812,0.064086
-0.066202,0.023772,-0.185449,-0.121652,0.012424,0.003753,0.029961,-0.004423,0.064304
-0.042353,-0.021719,-0.178278,-0.123447,0.012453,-0.002264,0.025949,-0.004017,0.064326
-0.049592,0.033309,-0.147082,-0.124969,0.012639,-0.007648,0.021881,-0.003608,0.064159
-0.033001,-0.033659,-0.168646,-0.126339,0.012628,-0.012872,0.017766,-0.003196,0.063818
0.005263,-0.052769,-0.17099,-0.126806,0.011197,-0.018491,0.013621,-0.002807,0.063297
-0.040321,0.05492,-0.185398,-0.127395,0.011228,-0.024387,0.009457,-0.002442,0.062586
0.038542,-0.012047,-0.149498,-0.127438,0.011931,-0.029928,0.005284,-0.002065,0.061686
0.033754,-0.033609,-0.151845,-0.12626,0.011174,-0.034915,0.001128,-0.001689,0.060612
0.00494,0.057311,-0.120753,-0.125639,0.011561,-0.039428,-0.002998,-0.001319,0.059381
0.078999,-0.069477,-0.170958,-0.124273,0.011357,-0.044257,-0.007092,-0.000946,0.057997
0.007135,0.054982,-0.137514,-0.122874,0.011114,-0.049362,-0.01114,-0.00058,0.056447
0.009508,0.047836,-0.135059,-0.122622,0.012808,-0.053875,-0.015162,-0.000191,0.054739
0.054835,-0.009618,-0.151826,-0.121586,0.013435,-0.058624,-0.019164,0.000237,0.052878
0.085845,-0.040693,-0.130348,-0.119292,0.012603,-0.063296,-0.023111,0.000661,0.050862
0.03556,0.057386,-0.113578,-0.117318,0.012876,-0.067337,-0.026989,0.001076,0.048701
0.119234,-0.057437,-0.13986,-0.114796,0.012873,-0.071535,-0.030793,0.001495,0.046404
0.068951,0.028678,-0.115933,-0.111724,0.012397,-0.075773,-0.034505,0.001906,0.043968
0.054464,0.081352,-0.0872,-0.109722,0.014211,-0.079142,-0.038135,0.00234,0.041406
0.130984,-0.055047,-0.099166,-0.106699,0.014643,-0.082235,-0.041683,0.00281,0.038737
0.071096,-0.002373,-0.068081,-0.103403,0.013695,-0.085012,-0.045128,0.003272,0.035971
0.111727,0.024019,-0.072889,-0.100427,0.014051,-0.087357,-0.048471,0.003725,0.03312
0.154715,-0.083646,-0.087209,-0.096072,0.013067,-0.090017,-0.051693,0.004167,0.030186
0.099637,0.024042,-0.06093,-0.091919,0.012083,-0.092481,-0.054777,0.004576,0.027167
0.144983,-0.002326,-0.072898,-0.087927,0.012441,-0.094709,-0.057727,0.004975,0.02407
0.140218,-0.038207,-0.056132,-0.083268,0.011773,-0.096858,-0.060536,0.005369,0.0209
0.130553,0.009661,-0.05133,-0.078847,0.011302,-0.098652,-0.063197,0.005745,0.017666
0.178357,-0.08359,-0.056138,-0.073799,0.010083,-0.100447,-0.065703,0.006092,0.014371
0.132805,0.009682,-0.003479,-0.068715,0.008864,-0.101453,-0.068043,0.006399,0.01103
0.151979,0.002534,-0.001129,-0.064067,0.009067,-0.101551,-0.070224,0.00669,0.00767
0.161447,-0.02619,-0.013095,-0.058948,0.008678,-0.101808,-0.072245,0.006978,0.004303
0.163858,-0.004605,0.020441,-0.053634,0.008171,-0.101711,-0.074096,0.00725,0.000934
0.142245,-0.004595,-0.003488,-0.048637,0.008021,-0.101455,-0.075778,0.007513,-0.002431
0.168492,-0.050089,0.025146,-0.043564,0.007121,-0.101121,-0.077296,0.007758,-0.005786
0.163753,-0.018993,0.061038,-0.038138,0.005983,-0.099724,-0.078642,0.007969,-0.009113
0.175688,-0.002214,0.006023,-0.032593,0.005635,-0.098643,-0.079809,0.008156,-0.0124
0.166052,0.002599,0.017988,-0.027011,0.005644,-0.098272,-0.080793,0.008337,-0.015664
0.170835,-0.02848,0.032405,-0.021509,0.005219,-0.097467,-0.081597,0.008512,-0.018909
0.197097,-0.059559,0.051531,-0.015495,0.003769,-0.096108,-0.082212,0.008656,-0.022119
0.156383,0.007428,0.070658,-0.00972,0.002912,-0.094118,-0.082635,0.008762,-0.025275
0.163628,0.000277,0.077822,-0.004497,0.003042,-0.091695,-0.082878,0.008856,-0.028359
0.182741,-0.035609,0.101756,0.00116,0.002462,-0.08876,-0.082943,0.008942,-0.031354
0.134879,0.019413,0.080287,0.006344,0.002198,-0.085783,-0.082831,0.009015,-0.034254
0.194696,-0.033242,0.111382,0.011725,0.001973,-0.082648,-0.082546,0.00908,-0.037053
0.177927,-0.064324,0.10894,0.017816,0.000367,-0.079041,-0.082074,0.009115,-0.039741
0.163614,0.014625,0.118562,0.023396,-0.00045,-0.075315,-0.081411,0.00911,-0.04231
0.177938,-0.088241,0.108964,0.028975,-0.001661,-0.071589,-0.080565,0.009072,-0.044756
0.206682,-0.052344,0.113784,0.035266,-0.003977,-0.067941,-0.079526,0.008976,-0.047082
0.149228,0.007481,0.132923,0.041084,-0.004714,-0.063898,-0.078288,0.008829,-0.049282
0.180332,-0.030859,0.125781,0.046469,-0.005096,-0.059658,-0.076867,0.008664,-0.051345
0.122983,0.024259,0.137765,0.051421,-0.005201,-0.055337,-0.075277,0.008491,-0.053269
0.130164,0.050544,0.147396,0.055546,-0.003963,-0.050659,-0.073539,0.008337,-0.055045
0.20678,-0.097828,0.101916,0.061055,-0.004739,-0.046572,-0.071643,0.008191,-0.056677
0.111096,0.036232,0.12832,0.06625,-0.005752,-0.042801,-0.069573,0.008016,-0.05818
0.12064,-0.006915,0.125894,0.070026,-0.005264,-0.038632,-0.067355,0.007832,-0.059553
0.149408,-0.040353,0.140338,0.074435,-0.00604,-0.034266,-0.065005,0.007643,-0.060787
0.089624,0.005053,0.173808,0.078333,-0.006619,-0.029108,-0.062518,0.007432,-0.061864
0.149484,-0.083401,0.135594,0.082235,-0.007908,-0.024028,-0.059904,0.00719,-0.062772
0.147173,-0.073887,0.149944,0.087087,-0.010499,-0.019341,-0.057148,0.006885,-0.063521
0.070627,0.048206,0.171554,0.09064,-0.010919,-0.01406,-0.054253,0.00653,-0.064106
0.070674,0.048207,0.173945,0.092933,-0.009325,-0.008382,-0.051264,0.006194,-0.064511
0.082687,0.021828,0.154861,0.095426,-0.008166,-0.002979,-0.048196,0.005904,-0.064734
0.05881,0.009864,0.145291,0.097726,-0.007639,0.001952,-0.045051,0.005642,-0.064787
0.094756,-0.064275,0.142979,0.100227,-0.008534,0.006688,-0.041827,0.005374,-0.064682
0.094811,-0.064275,0.143023,0.103323,-0.010651,0.011388,-0.038512,0.005056,-0.064422
